IdPersona,Nombre,Colonia
47,ESTEBAN PLANAS TOLEDO, JARDINES DE GUADALUPE
48,SEGISMUNDO PUERTA MORALES,AGUA BLANCA
49,FERNANDA PALAU ARAGÓN, MODERNA
50,JULIO CÉSAR GRAS-PABLO,AGUA BLANCA
51,FORTUNATA FIGUEROLA CATALÁN, LOMAS DEL BOSQUE
52,BLAS CORTES PUJADAS, ROMA
53,IRIS CARRANZA CÁZAR,AGUA BLANCA
54,GONZALO PALOMINO VALDERRAMA,LAS LIEBRES
55,JORDÁN CASAL SALCEDO,AGUA BLANCA
56,MÁXIMO BELTRAN VALDERRAMA,AGUA BLANCA
57,ELEUTERIO PERALTA PAZ,AGUA BLANCA
58,ELPIDIO BUSQUETS-LUMBRERAS,AGUA BLANCA
59,PORFIRIO RINCÓN BARROSO,STA. MARIA TEQUEPEXPAN
60,CIRO CALLEJA-GIMENEZ, CIUDAD DEL SOL
61,ANÍBAL VALLEJO RIVERO,AGUA BLANCA
62,JOSE MIGUEL FUENTES-COBO,AGUA BLANCA
63,EUGENIO MATEO-JÁUREGUI,AGUA BLANCA
64,GEMA LIGIA MORA CALDERÓN, PARAISOS DEL COLLI
65,PONCIO JUAN CARLOS  ATIENZA,ZONA CENTRO
66,MARCELINO NORIEGA MARCO, LA MAGDALENA
67,ADÁN BELMONTE CAPAR, LOMAS DEL COLLI
68,MANUELA MONTES AMAYA,AGUA BLANCA
69,FELICIANA PALACIOS MARCOS,AGUA BLANCA
70,ELISABET ZAMORA VAZQUEZ,CONSTITUCION 
71,CHITA ARANA RAMOS,AGUA BLANCA
72,ADELA PINTO PINTO,AGUA BLANCA
73,AMADOR BAÑOS PIQUER,AGUA BLANCA
74,FANNY CAMPOS AMOR,AGUA BLANCA
75,EDGARDO AMO AMADOR,AGUA BLANCA
76,EUTIMIO BENAVENTE MURCIA,AGUA BLANCA
77,LUCIO MULET CALVET,AGUA BLANCA
78,JESSICA LEDESMA-FERRANDO,AGUA BLANCA
79,LEYRE BERENGUER-IBARRA, FERROCARRIL
80,MARÍA  BARRIGA SANTIAGO,AGUA BLANCA
81,CRESCENCIA DE VIGIL,AGUA BLANCA
82,ELÍAAS GELABERT ESTRADA, PROVIDENCIA
83,LINO HERMENEGILDO MORALES BENITEZ,AGUA BLANCA
84,AGUSTÍN DE MARQUÉS,FERROCARRIL
85,CEFERINO ANDRÉS FELIPE DOMINGO ABASCAL,AGUA BLANCA
86,AMAYA ROYO BUENO, LADRON DE GUEVARA
87,FLORA BERNARDITA MENA ARNAIZ, TOLUQUILLA
88,NADIA CARBONELL SORIA,AGUA BLANCA
89,LUÍS CAMPOY VIZCANO,COLINAS DE ATEMAJAC
90,JOSE MIGUEL ZACARÍAS GÓMEZ SOTO, RESIDENCIAL VICTORIA
91,ALBERT CARRO, JARDINES DE LOS ARCOS
92,OTILIA COLL-PI,AGUA BLANCA
93,TRINIDAD INIESTA BOIX,AGUA BLANCA
94,KIKE SIERRA MALO,AGUA BLANCA
95,JUAN NOGUERA GARCÍA,AGUA BLANCA
96,JUAN MANUEL CASTILLA,AGUA BLANCA INDUSTRIAL
97,OCTAVIA MIGUEL-ALMAZÁN, CIUDAD DEL SOL
98,BERNAB JOVER,COLINAS DE ATEMAJAC
99,ENRIQUE  ISERN CASALS,AGUA BLANCA
100,NOA GASCÓN,AGUA BLANCA
101,GASTÓN MILLÁN RAYA,COLINAS DE ATEMAJAC
102,DALILA MORATA IBARRA,COLINAS DE ATEMAJAC
103,DIONISIA MANCEBO ESPEJO,AGUA BLANCA
104,RUBEN MADRIGAL TEJEDOR,AGUA BLANCA
105,JUANITO JORDÁN ESPAÑA,AGUA BLANCA
106,ALEJANDRO ARRANZ,AGUA BLANCA
107,MANU NOVOA LAGUNA,AGUA BLANCA
108,GERÓNIMO DEL ARIZA,AGUA BLANCA
109,ADALBERTO FALCÓ VILLALONGA,AGUA BLANCA
110,PACO PUIG BARCO, AGUA BLANCA INDUSTRIAL
111,BLANCA LLABRÁS TELLO, LAGOS DE ORIENTE
112,SUSANA ZAMORANO-PALMER, EL CAMPANARIO
113,LEONCIO JOVER CANO, SAN CARLOS
114,ALBERT BUSTOS URIARTE,AGUA BLANCA
115,VERA VERDEJO VERDE, VALLARTA SUR
116,MARISOL PIZA CORTINA,AGUA BLANCA
117,CLOE MIRALLES-POSADA,AGUA BLANCA
118,VICTORIANO LLADA-MOLES,AGUA BLANCA
119,FLORENCIO ESPADA GALAN,COLINAS DE ATEMAJAC
120,BLAS PEREIRA CAMPILLO,AGUA BLANCA
121,ALBINA CUEVAS ALEGRE, GUSTAVO DIAZ ORDAZ
122,SOLEDAD CÓRDOBA MENDEZ, EL SAUZ
123,SILVIO BASILIO VARELA BOU,AGUA BLANCA
124,ARISTIDES LLANOS MESA,AGUA BLANCA
125,BENITO SEVILLA, EL RETIRO
126,TEODORO CHICO CÉSPEDES,AGUA BLANCA
127,FLORENTINO TENA REIG,AGUA BLANCA
128,TIBURCIO CURRO GÓMEZ CAMPO,AGUA BLANCA
129,NACHO RIVERA,COLINAS DE ATEMAJAC
130,FABIO LOSADA ANGUITA,COLINAS DE ATEMAJAC
131,PAZ CABELLAS ESPAÑOL, SAN FRANCISCO
132,AITOR DEL JORDÁN,AGUA BLANCA
133,ANGELINO ISERN PALOMAR,AGUA BLANCA
134,CHARO TORMO ALVAREZ,AGUA BLANCA
135,GASTÓN ARMAS PEÑA,AGUA BLANCA
136,ALFONSO MONTESINOS PINA,AGUA BLANCA
137,LORENZO MAYO FIGUEROA,TORRE BLANCA DEL M.HGO
138,LEONCIO SALAZAR HIDALGO,COLINAS DE ATEMAJAC
139,SEBASTIÁN CARPIO ROSALES,AGUA BLANCA
140,AMANCIO RÍO, IND.VALLEJO DEL AZCAPOTZALCO
141,CARLA GALVEZ BENITO,AGUA BLANCA
142,NARCISO BLANCH VÁZQUEZ,AGUA BLANCA
143,CARMINA MANUEL ESPAÑA,AGUA BLANCA
144,JOSÉ ÁNGEL PEÑAS-ZORRILLA,AGUA BLANCA
145,JOSE RAMÓN HARO ,AGUA BLANCA
146,CAYETANO ARNAU BARROS,SANTA MONICA
147,CANDELARIA CASTILLA HIDALGO,AGUA BLANCA
148,JOSE ANGEL CALLEJA,AGUA BLANCA
149,HERACLIO QUEROL-RIVERA,AGUA BLANCA
150,DOLORES GALIANO ,JALISCO
151,LOURDES MONTOYA BUSTOS,AGUA BLANCA
152,ENCARNACIÓN RODRIGUEZ MACIAS,AGUA BLANCA
153,RUBEN LORENZO LOZANO,AGUA BLANCA
154,HUMBERTO PERA,JARDINES DEL SOL
155,NICOLASA GASCÓN MIR,AGUA BLANCA
156,MARTINA MARIO GARRIDO,AGUA BLANCA
157,PEPITO PIZAMARIO,COLINAS DE ATEMAJAC
158,HERNANDO PULIDO VILLALBA,AGUA BLANCA
159,FERMÍN GONZÁLEZ,AGUA BLANCA
160,JOSÉ MANUEL CABEZA CARRILLO,VISTAS DEL SOL
161,SARITA DONOSO-AGUDO,AMERICANA
162,BUENAVENTURA ROJAS PEÑAS,AGUA BLANCA
163,ALICIA ROBLEDO MANSO,AGUA BLANCA
164,NOEMÍ GODOY SARMIENTO,AGUA BLANCA
165,MARCO NARANJO-GALLO,CENTRO
166,MARICELA ZAMORANO ALEGRE,AGUA BLANCA
167,PABLO BENITO FERRÁN,AGUA BLANCA
168,BERNARDINO ALEX PINA SOLERA,AGUA BLANCA
169,FELICIDAD VALVERDE COLOMER,AGUA BLANCA
170,JOVITA CARDONA-CALDERON,AGUA BLANCA
171,SILVIA LORENZO BARCO,AGUA BLANCA
172,ESTRELLA FERRÁN-ROMAN,AGUA BLANCA
173,AITOR TORRECILLA MORERA,AGUA BLANCA
174,YÉSICA ALBA COLOMA,AGUA BLANCA
175,MARCIANO CARO REVILLA,PROVIDENCIA
176,FAUSTINO BLANCA RIBERA,CENTRO
177,IRMA DEL PALAU,COLINAS DE ATEMAJAC
178,PAULINO CASTELLS-FIGUERAS,AGUA BLANCA
179,ANA BELÉN CÁMARA IÑIGUEZ,AGUA BLANCA
180,JUAN FRANCISCO MIR PEÑA,AGUA BLANCA
181,LAURA MILLA IRIARTE,AGUA BLANCA
182,VIOLETA VIGIL BATLLE,AGUA BLANCA
183,REYNALDO SOLA SANCHEZ,BOSQUES DE LA VICTORIA
184,INMACULADA BUENDÍA,COLINAS DE ATEMAJAC
185,JERÓNIMO GÓMEZ,RINCONADA LAS PALMAS
186,ARTURO FUERTES-MARIN,ATLAS
187,RODRIGO LLUCH,AGUA BLANCA
188,LUCIANA HUERTA GUTIERREZ,AGUA BLANCA
189,GALO SALINAS URIARTE,AGUA BLANCA
190,LORENZO MUR FUENTE,AGUA BLANCA
191,LUIS CASTAÑEDA BAYONA,AGUA BLANCA
192,MARITA LASA-FLORES,AGUA BLANCA
193,NOELIA MAYO HOZ,AGUA BLANCA
194,ITZIAR DE PACHECO,JARDINES DE SAN IGNACIO
195,ALONDRA RAMIS GUILLEN,AGUA BLANCA
196,LEANDRO MARCOS ARAUJO,LOS PINOS
197,HERNN CARB BERNAT,AGUA BLANCA
198,EVANGELINA CASTRO IBEZ,AGUA BLANCA
199,HIPLITO FALCÓN SOTO,COLINAS DE ATEMAJAC
200,DORITA GALLART ESTVEZ,LOMAS DE GUEVARA
201,QUIRINO SEDANO RIBAS,JARDINES DE GUADALUPE
202,JULIETA PRADA OROZCO,LAS AGUILAS
203,SATURNINO FUERTES ROS,AGUA BLANCA
204,CONSUELA MARTINA CCERES RAMOS,AGUA BLANCA
205,JACINTO ELORZA ESPINOSA,AGUA BLANCA
206,CLETO PEÑA TORMO,AGUA BLANCA
207,URBANO SIMN REBOLLO FERRER,AGUA BLANCA
208,DIONISIO DE VLEZ,AGUA BLANCA
209,PASTOR GIRONA NADAL,AGUA BLANCA
210,JOAQUINA ROMN-NUEZ,AGUA BLANCA
211,EMA ADADIA PEÑALVER,CENTRO
212,DESIDERIO ISIDORO SALAZAR PASTOR,AGUA BLANCA
213,JACOBO BORRS ZURITA,AGUA BLANCA
214,AMAYA LOBO CANALES,CIUDAD GRANJA
215,HERBERTO GUARDIOLA BLANES,AGUA BLANCA
216,ODALIS OROZCO ARCOS,COLINAS DE ATEMAJAC
217,CONSTANZA PATRICIA GONZÁLEZ OLMO,LAS JUNTAS
218,JAVIER ARNAL,AGUA BLANCA
219,NARCISA ARCOS GRANDE,AGUA BLANCA
220,GOYO DE INFANTE,COLINAS DE ATEMAJAC
221,FLORENCIA ARMAS,AGUA BLANCA
222,MARINA GUIOMAR JOVER AGUIL,AGUA BLANCA
223,AUGUSTO ESCOLANO,COLINAS DE ATEMAJAC
224,LUCIANA PALMER SANZ,JARDINES DE SAN IGNACIO
225,AMADA MACIAS MORALEDA,AGUA BLANCA
226,NOELIA DEL ARCE,COLINAS DE ATEMAJAC
227,BALDUINO CABANILLAS REBOLLO,AGUA BLANCA
228,CLAUDIO SOLANO VIAS,COLINAS DE ATEMAJAC
229,AMPARO SAMPER,AGUA BLANCA
230,EDELMIRA BRIONES NAVARRETE,AGUA BLANCA
231,SOL LARREA PASCUAL,AGUA BLANCA
232,CALIXTO CASTELLANOS CLAVERO,EL COLLI URBANO
233,ADN MACAS ROMERO,AGUA BLANCA
234,EUSTAQUIO PALAU TELLO,AGUA BLANCA
235,ATILIO VILLALBA ROZAS,AGUA BLANCA
236,MARISTELA SACRISTN,AGUA BLANCA
237,ASUNCIN ARROYO FONT,AGUA BLANCA
238,CONRADO HAROLDO NOGUS LLADA,AGUA BLANCA
239,IBN NARANJO SALGADO,AGUA BLANCA
240,PILAR BAS AGULLO,AGUA BLANCA
241,BERNARDITA DEL ALMANSA,AGUA BLANCA
242,JOSÉ MARI HERMENEGILDO LUCAS ROBLEDO,AGUA BLANCA
243,ISAAC PEINADO BENET,COLINAS DE ATEMAJAC
244,HERBERTO GERALDO LAMO BERNAD,AGUA BLANCA
245,ESTELA LEDESMA MIR,AGUA BLANCA
246,JOEL LZARO MENDEZ FARR,EL COLLI
247,MAR MASCAR-MAZA,LADRON DE GUEVARA
248,CRISTIAN CUENCA CORTINA,AGUA BLANCA
249,EUTIMIO ARANDA,AGUA BLANCA
250,ELIGIO PADILLA TOMAS,AGUA BLANCA
251,JUAN MANUEL DE ARENAS,PROVIDENCIA
252,SANTOS ARELLANO ALFARO,RESIDENCIAL VICTORIA
253,EDELMIRO VALERA BUSTAMANTE,COLINAS DE ATEMAJAC
254,LEIRE LASA TORRECILLA,AGUA BLANCA
255,DAN ADN CABANILLAS FORTUNY,BOLIVAR DE LOS PADRES
256,FLORENTINO MARTNEZ ROS,AGUA BLANCA
257,VITO DALMAU CASAS,AGUA BLANCA
258,EUTROPIO AVILS SOLERA,AGUA BLANCA
259,ATILIO EXPOSITO CAMACHO,RESIDENCIAL STA.MARGARITA
260,EFRAN JUAN,COLINAS DE ATEMAJAC
261,NO TEJERO VALLE,JDES.DE LA PLAZA DEL SOL
262,REYNA POZO CAMPOS,AGUA BLANCA
263,ROSENDO TEJADA CABRERA,AGUA BLANCA
264,ARTEMIO ZAPATA BOU,LOS ENCINOS
265,PETRONA SANMARTN ARREGUI,JARDINES DE LA CRUZ
266,NAZARET PALACIO CISNEROS,AURORA
267,ASDRUBAL ACERO IRIARTE,AGUA BLANCA
268,MONTSERRAT GLVEZ CABEZAS,AGUA BLANCA
269,EFRAN CARRIN-ARMAS,ARTESANOS
270,CORONA ZAPATA MANRIQUE,AGUA BLANCA
271,RAFA ALVAREZ RIUS,AGUA BLANCA
272,ELIGIO DOMINGUEZ ZABALA,AGUA BLANCA
273,SANTIAGO FERRANDO BARTOLOM,COLINAS DE ATEMAJAC
274,ÁNGELA RAMIREZ MARTINEZ,JARDINES DEL SOL
275,CASEMIRO CAYETANO REGUERA TORRES,AGUA BLANCA
276,FULGENCIO PI-GUERRERO,AGUA BLANCA
277,MAXIMIANO CORTS MARTINEZ,AGUA BLANCA
278,BERNAB BARBERO BENAVENT,CAMINO REAL
279,JUAN MANUEL RODOLFO VILLANUEVA ARCOS,AGUA BLANCA
280,LAURA REQUENA LUZ,AGUA BLANCA
281,LINO ROVIRA CARNERO,RINCONADA DEL BOSQUE
282,LVARO JESS PALLARS DUQUE,AGUA BLANCA
283,SOLEDAD PELEZ MONTESINOS,AGUA BLANCA
284,CHE ANGULO VIGIL,AGUA BLANCA
285,ANA BELÉN MAYOL ESPAÑOL,RESIDENCIAL JUAN MANUEL
286,CRISTINA CERRO CRESPO,AGUA BLANCA
287,ANA BELÉN DEL PAREJO,AGUA BLANCA
288,MARGARITA MARIN OLIVA,COLINAS DE ATEMAJAC
289,AUGUSTO LVARO VAZQUEZ SANABRIA,DEL FRESNO
290,PASCUALA MONTES HERNNDEZ,CAMINO REAL
291,JAFET MARQUEZ PORTERO,AGUA BLANCA
292,VALERIO ÁNGEL COELLO,EL ALAMO
293,TERESA ARVALO JARA,DEL FRESNO
294,FLORENTINO OSUNA UGARTE,SAN CARLOS
295,DANIELA ESCRIV ROSALES,FERROCARRIL
296,MARC OCAA BURGOS,JARDIN REAL
297,JAIME RODRGUEZ,AGUA BLANCA
298,GONZALO BRIONES ACERO,ALCALDE BARRANQUITAS
299,CANDELA PELLICER HEREDIA,AGUA BLANCA
300,ADRIANA BERMUDEZ SECO,JARDINES DEL BOSQUE
301,JUAN LUIS NARANJO CABELLAS,AMERICANA
302,ALEX PARDO BENET,COLINAS DE ATEMAJAC
303,FELIX SANTAMARIA ALLER,AGUA BLANCA
304,SANTIAGO BUENO,JARDINES DEL BOSQUE
305,TANIA FRAS SANZ,AGUA BLANCA
306,PRISCILA GARCA VILANOVA,AGUA BLANCA
307,ROSALVA SAINZ BOTELLA,EL BRISEÑO
308,GEMA BARCEL ABAD,AGUA BLANCA
309,OCTAVIO MURCIA,COLINAS DE ATEMAJAC
310,INS TORO JUREGUI,AGUA BLANCA
311,ALBERTO PUERTA VILLALOBOS,CENTRO
312,GASPAR MONREAL ALCOLEA,JARDINES UNIVERSIDAD
313,FLIX SASTRE ROLDAN,MODERNA
314,AMANDO AGUILAR MENDIZBAL,AGUA BLANCA
315,ROSALA PI,AGUA BLANCA
316,MARA ÁNGELES ANDRES ARIO,CONCEPCION LA CRUZ
317,JUAN LUIS LINARES CABANILLAS,AGUA BLANCA
318,AMELIA BARRERA,AGUA BLANCA
319,ONOFRE SANMIGUEL DOMINGUEZ,AGUA BLANCA
320,NICOLASA BALAGUER POLO,ARCOS VALLARTA
321,MAGDALENA PINEDO,SAN SEBASTIAN EL GDE
322,ELPIDIO JORDÁN ANGLADA CASTELLS,HECHEVERRIA
323,CONSTANZA SENZ PEREA,CENTRO
324,REN DEL GUILA,JARDINES VALLARTA
325,ÁNGELES CALDERON FARR,NUEVA GALICIA
326,BELEN AGUILAR BALAGUER,JARDINES DEL BOSQUE
327,JOSÉ MARI CASTELL,AGUA BLANCA
328,CIRACO ARJONA,FCO.SILVA ROMERO
329,SALUD TOLEDO FLORES,AGUA BLANCA
330,TAMARA SALV FRANCH,AGUA BLANCA
331,BASILIO GALLEGO-PONCE,AGUA BLANCA
332,IKER DE MALO,AGUA BLANCA
333,SALOMN ALIAGA OLMO,TEPEYAC
334,MARGARITA BERMUDEZ-AYUSO,COLINAS DE ATEMAJAC
335,CHUCHO IÑIGUEZ ARELLANO,LAS PINTAS
336,VALENTN DEL ROBLES,SANTA ANITA
337,MBAR MONTALBN JULI,AGUA BLANCA
338,BERNARDITA VILLANUEVA,AGUA BLANCA
339,ANITA CABRERA,COLINAS DE ATEMAJAC
340,MERCHE CLEMENTE ALCALDE,AGUA BLANCA
341,EUSEBIO VIA QUERO,LA RETAMA
342,ELISA ABASCAL DONOSO,AGUA BLANCA
343,EMILIA ESCRIBANO,AGUA BLANCA
344,MARITA BLANES SAAVEDRA,AGUA BLANCA
345,FRANCISCO JAVIER ADADIA BORRS,AGUA BLANCA
346,MORENA DE TORMO,AGUA BLANCA
347,CONSUELA LOSADA,RANCHO NUEVO
348,OBDULIA LEONOR SANABRIA MORENO,COLINAS DE ATEMAJAC
349,MARITA CHACN-SUREZ,AGUA BLANCA
350,MAMEN MENDIZBAL PEÑAS,COLINAS DE ATEMAJAC
351,ADN FIGUERAS,MERCADO DE ABASTOS
352,IGO NADAL BUENO,COLINAS DE ATEMAJAC
353,JUAN BAUTISTA ALCNTARA MAYO,AGUA BLANCA
354,MATAS RUIZ TORRES,AGUA BLANCA
355,ISA SENZ JIMENEZ,PRADOS VALLARTA
356,TANIA RAMIS LOSADA,FLORES MAGON
357,YÉSICA FRANCH LUNA,COLINAS DE ATEMAJAC
358,VALERIA CRUZ-ALFARO,AGUA BLANCA
359,NICODEMO DEL SEDANO,CONSTITUCION 
360,IGNACIA ZARAGOZA CASTILLA,COLINAS DE ATEMAJAC
361,JUAN BAUTISTA DEL PORTA,AGUA BLANCA
362,DBORA LORENA ROSALES MALO,JARDINES DEL SOL
363,JULIANA BALLESTER IÑIGUEZ,BUENOS AIRES
364,SUSANITA LUQUE RUANO,AGUA BLANCA
365,LEOCADIO CANET,ZONA INDUSTRIAL
366,FLORA ABRIL CORRAL,AGUA BLANCA
367,RUTH MENDIZBAL FIGUEROA,BOSQUES DE LA VICTORIA
368,ANBAL DEL POZA,AGUA BLANCA
369,ESTEBAN MIR MARQUEZ,AGUA BLANCA
370,PAULA ESPERANZA AGUADO CALVO,COLINAS DE ATEMAJAC
371,HERNN ROMN CASALS,AGUA BLANCA
372,TORIBIO CERVANTES MORILLO,CENTRO
373,EUSEBIO OJEDA QUESADA,AGUA BLANCA
374,JOAQUINA EGEA FONSECA,AGUA BLANCA
375,VENCESLS GERARDO GILABERT ÁNGEL,CIUDAD DEL SOL
376,JAFET CARLOS SANMIGUEL,PARQUE INDUSTRIAL CIMEG
377,BERNARDA NIO GIMNEZ,AGUA BLANCA
378,DELIA BALAGUER CARBALLO,RESIDENCIAL DEL BOSQUE
379,ROSARIO CORRAL,COLINAS DE ATEMAJAC
380,ÁNGELA DE VALERA,COUNTRY CLUB
381,VILMA ROZAS ISERN,COLINAS DE ATEMAJAC
382,CELSO URRUTIA ALCALDE,AGUA BLANCA
383,CLEMENTINA BONILLA-ROSA,AGUA BLANCA
384,JACOBO AMORS,CAMINO REAL
385,BALDOMERO LORETO QUINTANILLA VICENTE,PRADOS VALLARTA 
386,AMANDA BELTRAN,JOCOTAN
387,DANILO PAZOS VALLS,COLINAS DE ATEMAJAC
388,EDMUNDO SANTIAGO CARPIO BENITO,AGUA BLANCA
389,LEANDRA MANRIQUE GALN,LOMAS DE GUADALUPE
390,NICODEMO BALLESTEROS PAZOS,AGUA BLANCA
391,SONIA BERNAL-MAYO,AGUA BLANCA
392,VCTOR AYLLN-CANALS,COLINAS DE ATEMAJAC
393,ALEJANDRA BOTELLA,PROVIDENCIA
394,BELÉN SACRISTN-OLIV,PRADOS VALLARTA
395,ALMA ROBLEDO GIRALT,PRADOS VALLARTA
396,BENIGNA ALBERTO SARMIENTO,AGUA BLANCA
397,PABLO HERAS VALCRCEL,COLINAS DE ATEMAJAC
398,ROSALINDA RAMOS AGUIL,AGUA BLANCA
399,CUSTODIA FIGUERAS FUENTES,MEXICALTZINGO
400,AROA MART,AGUA BLANCA
401,CRISTBAL BAQUERO BELTRN,MORELOS
402,SATURNINA MIGUEL AGULLO,COLINAS DE ATEMAJAC
403,ANABEL SANTAMARA TABOADA,AMERICANA
404,REINA BENITO PAREJO,COLINAS DE ATEMAJAC
405,ESTEBAN RIOS CARDONA, RESIDENCIAL REAL VALLARTA
406,PAULINO ARISTIDES OCHOA ROPERO,RINCONADA DEL BOSQUE
407,IRMA BORRELL-PEIR,PRADOS PROVIDENCIA
408,ESTRELLA COBOS ALCOLEA,AGUA BLANCA
409,JAIME ALBA GIRN,AGUA BLANCA
410,GABRIELA DEL HERNANDO,VALLARTA PONIENTE
411,JOSE CARLOS ROVIRA FIGUEROA,CIUDAD GRANJA
412,CHE BARBER,CIUDAD GRANJA
413,VICTORINO ARNAU,AGUA BLANCA
414,MODESTA ARIAS MARIN,JARDINES DE LOS ARCOS
415,MARISOL PALOMA ESTVEZ CAMPS,CAMINO REAL
416,BELÉN MAS VILLALOBOS,ITALIA PROVIDENCIA
417,ODALIS POMBO,JUAN MANUEL VALLARTA
418,GOYO VEGA PALACIO,CONDOMINIO SANTA ANITA CLUB DE GOLF
419,INOCENCIO ROSELL REQUENA,COLINAS DE ATEMAJAC
420,AMADO PALOMINO,JARDINES DEL BOSQUE
421,JULIN ATIENZA ALCALDE,LOMAS DEL BOSQUE
422,DOMINGA PRUDENCIA ALMANSA GABALDN,AGUA BLANCA INDUSTRIAL
423,EUTROPIO CASANOVAS,COUNTRY CLUB 
424,FLORINA SEZ CUESTA,COUNTRY CLUB
425,VALERIA SILVA-MNGUEZ,COUNTRY CLUB
426,ERNESTO JULIN COROMINAS,COUNTRY CLUB
427,FABRICIO MAZA-CEREZO,COUNTRY CLUB
428,CONSTANZA REAL JORD,COLINAS DE ATEMAJAC
429,ANACLETO NOGUERA BERROCAL,ZONA INDUSTRIAL
430,BORJA GIRALT VIANA,LADRON DE GUEVARA
431,ESTEBAN LLADA TORRALBA,UNIVERSITARIA
432,DANI ERASMO SERRANO CAPDEVILA,JARDINES DE LOS ARCOS
433,MAMEN DELGADO AZNAR,JARDINES UNIVERSIDAD 
434,CINTIA MARCO MESA,AGUA BLANCA
435,SEVERO RIBA ROMEU,COLINAS DE ATEMAJAC
436,CARIDAD SOTELO BARREDA,AGUA BLANCA
437,CARLA RIVERA MRMOL,JARDINES DE SAN IGNACIO
438,CAYETANA ARVALO SERRA,GENERAL REAL
439,PAULINA ANTNEZ ,COLINAS DE ATEMAJAC
440,CLEMENTE PALOMAR INIESTA,CENTRO
441,AURORA BATALLA MARIN,PARQUE INDUSTRIAL EL ALAMO
442,NLIDA DUARTE MANUEL,JARDINES ALCALDE
443,AMADOR ARNAIZ,ZONA INDUSTRIAL 
444,JEREMAS DE FEIJOO,AGUA BLANCA
445,BALDOMERO IBN FRANCISCO CANALES,AGUA BLANCA
446,TANIA CUETO ALMAZN,CD. GRANJA
447,RODOLFO SIGFRIDO POZUELO GALINDO,RANCHO NUEVO
448,BRGIDA PIZA MARTORELL,AGUA BLANCA
449,DORA SERRA-GARZN,COLINAS DE ATEMAJAC
450,IGNACIO SANTANA DAZA,CIUDAD  GRANJA
451,JOSÉ ÁNGEL TABOADA-MERCADER,LOS MESEROS
452,GISELA PORTERO VALLS,BUGAMBILIAS
453,OLGA TEJERO-FORTUNY,CENTRO
454,ROSARIO NAVAS,COLINAS DE ATEMAJAC
455,TEFILO CABO GIRONA,JARDINES DEL SUR
456,LISANDRO YEZ CERVANTES,FERROCARRIL
457,LEOCADIO CASTILLA GUIJARRO,COLINAS DE ATEMAJAC
458,CALISTA VAQUERO CRDENAS,AGUA BLANCA
